Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac35,RecInac40,RecInac45,RecInac50,RecInac75,RecInac100,RecInac200,Compound Name,Seal Resistance,Capacitance
G06,T,-1.25E-09,-7.82E-10,-8.39E-10,-8.76E-10,-9.20E-10,-1.02E-09,-1.10E-09,-1.18E-09,NMDG60/2,3.32E+09,1.74E-11
H06,T,-1.37E-09,-5.21E-10,-5.84E-10,-6.29E-10,-6.89E-10,-8.55E-10,-9.75E-10,-1.19E-09,NMDG60/2,1.31E+09,1.33E-11
I06,T,-2.41E-09,-1.62E-09,-1.67E-09,-1.74E-09,-1.80E-09,-2.04E-09,-2.13E-09,-2.28E-09,NMDG60/2,8.15E+08,2.82E-11
J06,T,-6.80E-11,-7.88E-11,-7.88E-11,-7.88E-11,-7.88E-11,-7.27E-11,-7.27E-11,-7.11E-11,NMDG60/2,2.18E+08,1.31E-12
K06,T,-7.56E-10,-2.30E-10,-2.64E-10,-2.89E-10,-3.06E-10,-4.03E-10,-5.10E-10,-6.32E-10,NMDG60/2,1.66E+09,1.06E-11
L06,T,-9.92E-10,-6.21E-10,-6.74E-10,-7.03E-10,-7.34E-10,-8.22E-10,-8.78E-10,-9.65E-10,NMDG60/2,1.27E+09,1.12E-11
M06,T,-8.78E-10,-6.40E-10,-6.68E-10,-6.72E-10,-6.99E-10,-7.39E-10,-7.62E-10,-7.98E-10,NMDG60/2,1.06E+09,5.68E-12
N06,T,-3.69E-10,-2.46E-10,-2.67E-10,-2.64E-10,-2.84E-10,-3.12E-10,-3.31E-10,-3.42E-10,NMDG60/2,8.68E+08,8.10E-12
O06,T,5.46E-10,5.38E-10,5.38E-10,5.46E-10,5.46E-10,5.43E-10,5.46E-10,5.41E-10,NMDG60/2,5.77E+06,NaN
P06,T,-1.34E-09,-8.12E-10,-8.56E-10,-9.23E-10,-9.44E-10,-1.07E-09,-1.16E-09,-1.28E-09,NMDG60/2,1.99E+09,1.58E-11
A07,T,-4.17E-11,-3.56E-11,-4.02E-11,-3.40E-11,-3.56E-11,-4.79E-11,-3.40E-11,-4.02E-11,NMDG60/2,4.30E+08,1.63E-11
B07,T,-1.21E-10,-2.78E-11,-2.78E-11,-2.78E-11,-4.17E-11,-6.34E-11,-8.35E-11,-1.07E-10,NMDG60/2,7.13E+08,7.15E-12
C07,T,-1.16E-09,-8.95E-10,-8.80E-10,-9.54E-10,-9.72E-10,-1.08E-09,-1.10E-09,-1.16E-09,NMDG60/2,1.74E+09,7.70E-12
D07,T,-2.26E-10,-1.00E-10,-1.04E-10,-1.24E-10,-1.25E-10,-1.48E-10,-1.67E-10,-2.12E-10,NMDG60/2,1.06E+09,8.21E-12
E07,T,-7.61E-10,-4.07E-10,-4.17E-10,-4.65E-10,-4.71E-10,-5.73E-10,-6.20E-10,-7.11E-10,NMDG60/2,1.09E+09,1.43E-11
F07,F,-1.43E-09,-1.54E-09,-1.46E-09,-1.24E-09,-1.34E-09,-1.28E-09,-1.41E-09,-1.48E-09,NMDG60/2,4.02E+09,1.17E-11
G07,F,-1.70E-11,-1.08E-11,-1.85E-11,-1.55E-11,-4.95E-11,1.85E-11,-1.55E-11,-2.01E-11,NMDG60/2,2.45E+08,1.26E-11
H07,T,-1.20E-09,-5.02E-10,-5.63E-10,-5.81E-10,-6.46E-10,-8.36E-10,-9.18E-10,-1.12E-09,NMDG60/2,2.10E+09,1.31E-11
I07,T,-1.30E-09,-5.26E-10,-5.36E-10,-5.83E-10,-6.29E-10,-8.32E-10,-9.32E-10,-1.17E-09,NMDG60/2,2.06E+09,1.68E-11
J07,T,-4.73E-10,-1.17E-10,-1.16E-10,-1.14E-10,-1.25E-10,-1.58E-10,-1.82E-10,-2.78E-10,NMDG60/2,4.74E+09,1.22E-11
K07,T,-4.64E-12,-2.32E-11,-1.85E-11,-2.16E-11,-2.32E-11,-1.55E-11,-1.24E-11,-1.39E-11,NMDG60/2,3.23E+08,NaN
L07,T,-4.64E-12,1.85E-11,1.55E-11,1.08E-11,-2.47E-11,-6.18E-12,1.55E-11,1.55E-11,NMDG60/2,5.32E+08,5.70E-12
M07,T,-1.75E-09,-6.77E-10,-7.13E-10,-7.53E-10,-8.25E-10,-1.11E-09,-1.26E-09,-1.56E-09,NMDG60/2,2.11E+09,1.27E-11
N07,T,-1.79E-10,-1.98E-10,-1.87E-10,-1.85E-10,-1.85E-10,-1.85E-10,-1.89E-10,-1.87E-10,NMDG60/2,2.04E+08,6.69E-12
O07,T,-2.78E-09,-2.58E-09,-2.62E-09,-2.64E-09,-2.68E-09,-2.73E-09,-2.75E-09,-2.77E-09,NMDG60/2,1.43E+09,1.38E-11
