Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac35,RecInac40,RecInac45,RecInac50,RecInac75,RecInac100,RecInac200,Compound Name,Seal Resistance,Capacitance
O05,T,-4.021214E-11,-6.495808E-11,-1.361026E-10,-1.422891E-10,-2.134337E-10,-2.165269E-10,-1.577553E-10,-1.670351E-10,NMDG60/2,3.347226E+8,9.609657E-12
P05,T,-2.010607E-11,-1.701283E-11,-2.783918E-11,-4.639863E-11,-3.247904E-11,-3.247904E-11,-1.855945E-11,-3.093242E-11,NMDG60/2,2.251333E+8,4.734097E-12
A06,T,-7.887767E-11,-4.794525E-11,-4.794525E-11,-4.485201E-11,-6.650470E-11,-5.258511E-11,-4.949187E-11,-4.794525E-11,NMDG60/2,4.542468E+8,1.026396E-11
B06,T,-4.392403E-10,-4.098545E-10,-3.959350E-10,-4.021214E-10,-3.742823E-10,-4.067613E-10,-3.990282E-10,-4.299606E-10,NMDG60/2,7.054724E+8,1.180969E-11
C06,T,-3.093242E-11,-4.485201E-11,-4.175876E-11,-4.485201E-11,-4.175876E-11,-4.021214E-11,-3.711890E-11,-2.783918E-11,NMDG60/2,1.864888E+8,1.176809E-11
D06,F,-2.010607E-10,-6.805132E-11,4.021214E-11,1.361026E-10,1.763148E-10,1.979675E-10,2.196202E-10,1.825013E-10,NMDG60/2,1.470843E+9,1.319495E-11
E06,F,-2.783918E-10,-4.763592E-10,-9.140529E-10,-1.333187E-9,-1.524968E-9,-1.610032E-9,-1.715203E-9,-1.679630E-9,NMDG60/2,8.051287E+8,5.028220E-12
F06,F,-7.733104E-11,1.005304E-10,4.315072E-10,7.361916E-10,9.109597E-10,9.635448E-10,1.043969E-9,1.008397E-9,NMDG60/2,1.859214E+9,1.003533E-11
G06,T,-6.619538E-10,-5.846227E-10,-5.877159E-10,-5.861693E-10,-5.923558E-10,-6.093686E-10,-6.000889E-10,-6.124619E-10,NMDG60/2,3.515771E+9,1.391324E-11
H06,T,-2.567391E-10,-2.288999E-10,-2.227134E-10,-2.335397E-10,-2.149803E-10,-2.227134E-10,-2.288999E-10,-2.397262E-10,NMDG60/2,8.253761E+8,1.492268E-11
I06,T,9.279726E-11,7.887767E-11,7.887767E-11,8.506415E-11,8.506415E-11,8.042429E-11,8.351753E-11,8.197091E-11,NMDG60/2,1.570345E+9,2.452200E-11
J06,T,1.979675E-10,1.809546E-10,1.747682E-10,1.732215E-10,1.716749E-10,1.732215E-10,1.747682E-10,1.763148E-10,NMDG60/2,5.306304E+6,NaN
