Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac8,RecInac9,RecInac10,RecInac15,RecInac20,RecInac25,RecInac30,Compound Name,Seal Resistance,Capacitance
P06,T,-3.112459E-10,-7.277889E-11,-7.742435E-11,-8.516679E-11,-1.037486E-10,-1.176850E-10,-1.331699E-10,-1.610427E-10,NMDG60/2,4.988867E+8,1.198509E-11
A07,T,-2.864701E-10,-1.037486E-10,-8.981225E-11,-1.223305E-10,-1.362669E-10,-1.563972E-10,-1.656881E-10,-1.889154E-10,NMDG60/2,1.379233E+9,2.301541E-11
B07,T,9.290922E-12,1.703336E-11,1.858184E-11,1.238790E-11,2.013033E-11,1.083941E-11,1.703336E-11,1.083941E-11,NMDG60/2,8.921453E+8,4.469079E-12
C07,T,2.013033E-11,3.561520E-11,3.561520E-11,4.026066E-11,3.716369E-11,4.335764E-11,4.180915E-11,3.561520E-11,NMDG60/2,7.492689E+8,4.355140E-12
D07,T,-5.419705E-10,-6.193948E-11,-7.432738E-11,-8.052133E-11,-9.910317E-11,-1.409123E-10,-1.502032E-10,-2.013033E-10,NMDG60/2,3.285387E+9,9.928972E-12
E07,T,-8.981225E-11,-6.348796E-11,-6.039100E-11,-5.884251E-11,-6.503646E-11,-6.813343E-11,-6.813343E-11,-7.123040E-11,NMDG60/2,3.082388E+9,1.050502E-11
F07,F,-3.251823E-11,-3.623460E-10,-3.778308E-10,-3.406672E-10,-2.849216E-10,-2.369185E-10,-2.136912E-10,-2.121427E-10,NMDG60/2,8.572630E+7,1.513014E-10
G07,F,-3.096974E-12,-3.096974E-12,1.393638E-11,2.787277E-11,2.477579E-11,2.013033E-11,1.703336E-11,2.787277E-11,NMDG60/2,6.136072E+7,NaN
H07,T,-1.238790E-10,-8.361830E-11,-7.123040E-11,-7.587586E-11,-6.813343E-11,-7.123040E-11,-7.123040E-11,-6.348796E-11,NMDG60/2,5.444364E+8,8.648171E-12
I07,T,2.632428E-11,-6.193948E-11,-6.193948E-11,-6.348796E-11,-6.968191E-11,-5.110007E-11,-5.729402E-11,-1.548487E-12,NMDG60/2,1.427094E+8,NaN
J07,T,-6.193948E-12,1.548487E-12,-3.096974E-12,-3.096974E-12,1.548487E-12,0.000000E+0,-4.645461E-12,-1.548487E-12,NMDG60/2,1.484948E+9,1.165762E-11
K07,T,-7.215950E-10,-9.910317E-11,-1.037486E-10,-1.238790E-10,-1.749790E-10,-2.260791E-10,-2.957610E-10,-3.081489E-10,NMDG60/2,1.790607E+9,1.485545E-11
L07,T,2.013033E-11,-9.290922E-11,-8.516679E-11,-8.981225E-11,-8.052133E-11,-6.813343E-11,-6.348796E-11,-5.110007E-11,NMDG60/2,6.130972E+7,NaN
M07,T,-5.574553E-11,9.290922E-12,0.000000E+0,4.645461E-12,7.742435E-12,-6.193948E-12,-3.096974E-12,-6.193948E-12,NMDG60/2,2.612901E+9,4.113286E-12
N07,T,-6.952707E-10,-2.291761E-10,-2.307246E-10,-2.477579E-10,-3.607975E-10,-4.196400E-10,-4.599006E-10,-5.110007E-10,NMDG60/2,4.948028E+8,1.365611E-11
O07,F,-1.793148E-9,-5.605523E-10,-6.070069E-10,-6.581070E-10,-8.284405E-10,-9.569650E-10,-1.014259E-9,-1.107168E-9,NMDG60/2,2.843256E+9,1.394663E-11
P07,T,5.466159E-10,5.202916E-10,5.110007E-10,5.001613E-10,5.187432E-10,5.110007E-10,5.202916E-10,5.202916E-10,NMDG60/2,6.262868E+6,NaN
A08,T,-5.729402E-11,-7.432738E-11,-3.096974E-11,-2.477579E-11,-2.942125E-11,-3.561520E-11,-3.561520E-11,-2.787277E-11,NMDG60/2,7.107891E+8,4.361997E-12
B08,T,-8.779921E-10,-1.827215E-10,-2.044003E-10,-2.338215E-10,-3.158914E-10,-4.118975E-10,-4.831280E-10,-5.373250E-10,NMDG60/2,1.080041E+9,9.979257E-12
C08,T,1.283696E-9,1.263565E-9,1.254274E-9,1.241887E-9,1.237241E-9,1.244984E-9,1.241887E-9,1.241887E-9,NMDG60/2,6.373977E+6,NaN
D08,F,-6.224918E-10,-4.180915E-11,-2.322731E-11,-3.871218E-11,-1.130395E-10,-1.486548E-10,-1.718821E-10,-2.183367E-10,NMDG60/2,4.172721E+9,7.195762E-12
E08,F,-1.365766E-9,-4.537067E-10,-5.202916E-10,-6.023614E-10,-9.167043E-10,-1.025098E-9,-1.147429E-9,-1.218659E-9,NMDG60/2,2.065941E+9,1.136517E-11
F08,F,-1.378153E-10,3.747339E-10,4.599006E-10,4.660946E-10,5.326796E-10,4.289309E-10,4.877734E-10,4.970643E-10,NMDG60/2,NaN,1.186415E-11
G08,F,1.285244E-10,2.632428E-11,4.490612E-11,4.026066E-11,3.716369E-11,5.729402E-11,5.574553E-11,4.955159E-11,NMDG60/2,3.828662E+10,6.045508E-12
H08,T,2.678883E-10,2.446610E-10,2.400155E-10,2.431125E-10,2.353700E-10,2.338215E-10,2.353700E-10,2.307246E-10,NMDG60/2,6.098998E+6,NaN
I08,T,-1.393638E-10,-1.068456E-10,-1.114911E-10,-1.145880E-10,-1.254274E-10,-1.238790E-10,-1.362669E-10,-1.207820E-10,NMDG60/2,8.271316E+8,1.584873E-11
J08,T,7.742435E-12,-4.490612E-11,-3.561520E-11,-2.167882E-11,-2.322731E-11,-1.393638E-11,-9.290922E-12,-6.193948E-12,NMDG60/2,2.211022E+8,NaN
K08,T,-1.006517E-10,-4.800310E-11,-5.729402E-11,-6.968191E-11,-5.110007E-11,-6.968191E-11,-5.419705E-11,-6.039100E-11,NMDG60/2,4.914167E+8,1.404954E-11
L08,T,1.161365E-10,-1.192335E-10,-1.099426E-10,-7.897284E-11,-5.264856E-11,-3.096974E-11,-2.477579E-11,-1.858184E-11,NMDG60/2,7.610790E+7,3.287555E-11
M08,T,-5.202916E-10,-6.658495E-11,-7.123040E-11,-8.052133E-11,-1.068456E-10,-1.378153E-10,-1.625911E-10,-2.059488E-10,NMDG60/2,9.988532E+8,1.635691E-11
N08,T,-6.813343E-11,-5.419705E-11,-8.052133E-11,-8.052133E-11,-5.110007E-11,-8.361830E-11,-5.110007E-11,-4.800310E-11,NMDG60/2,4.843516E+8,8.743471E-12
O08,F,-2.787277E-11,-2.632428E-11,-2.942125E-11,-2.632428E-11,-3.251823E-11,-2.787277E-11,-3.096974E-11,-2.632428E-11,NMDG60/2,1.039350E+8,NaN
P08,F,-5.729402E-11,-1.114911E-10,-9.136074E-11,-1.161365E-10,-9.290922E-11,-6.193948E-11,-4.026066E-11,-4.180915E-11,NMDG60/2,2.545447E+8,NaN
A09,T,-2.322731E-11,-3.716369E-11,-4.335764E-11,-4.490612E-11,-3.406671E-11,-3.561520E-11,-3.406671E-11,-3.406671E-11,NMDG60/2,5.725741E+8,1.009279E-11
B09,T,4.753855E-10,2.585973E-10,2.570489E-10,2.446610E-10,3.360217E-10,3.236338E-10,3.205368E-10,3.669914E-10,NMDG60/2,4.027456E+7,1.069280E-10
C09,T,-1.083941E-11,-6.658495E-11,-8.516679E-11,-7.742435E-11,-5.574553E-11,-6.658495E-11,-5.419705E-11,-6.039100E-11,NMDG60/2,2.959541E+8,2.340856E-12
D09,T,-4.490612E-11,-4.335764E-11,-4.490612E-11,-4.645461E-11,-4.955159E-11,-4.645461E-11,-4.335764E-11,-4.800310E-11,NMDG60/2,8.207460E+8,2.551686E-11
E09,T,-5.419705E-11,-5.419705E-11,-5.264856E-11,-6.039100E-11,-6.193948E-11,-6.193948E-11,-5.110007E-11,-5.264856E-11,NMDG60/2,2.952405E+9,1.223164E-11
F09,T,-5.110007E-11,-5.729402E-11,-5.729402E-11,-6.658495E-11,-5.884251E-11,-5.574553E-11,-6.193948E-11,-6.193948E-11,NMDG60/2,5.548973E+9,1.439691E-11
