Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac35,RecInac40,RecInac45,RecInac50,RecInac75,RecInac100,RecInac200,Compound Name,Seal Resistance,Capacitance
L04,T,-1.817835E-9,-7.326988E-10,-7.821637E-10,-8.068962E-10,-9.197380E-10,-1.136147E-9,-1.310820E-9,-1.541141E-9,NMDG60/2,2.468658E+9,1.292300E-11
M04,T,-2.601545E-9,-2.399048E-9,-2.423780E-9,-2.451604E-9,-2.474791E-9,-2.527347E-9,-2.548988E-9,-2.573720E-9,NMDG60/2,7.148742E+8,3.162561E-11
N04,T,1.561236E-10,1.808560E-10,1.746729E-10,1.700356E-10,1.793102E-10,1.978596E-10,2.009511E-10,1.932223E-10,NMDG60/2,5.343259E+8,4.303699E-12
O04,T,-3.150296E-9,-3.103922E-9,-3.110106E-9,-3.107014E-9,-3.074553E-9,-3.120926E-9,-3.097739E-9,-3.117834E-9,NMDG60/2,2.712841E+8,1.568157E-11
P04,F,1.184066E-9,1.261355E-9,1.247443E-9,1.256718E-9,1.173246E-9,1.119143E-9,1.017122E-9,9.104633E-10,NMDG60/2,2.365798E+8,4.427484E-12
A05,T,-4.760997E-10,-2.828774E-10,-2.967894E-10,-2.983352E-10,-3.107014E-10,-3.601663E-10,-3.833530E-10,-4.065396E-10,NMDG60/2,1.710107E+9,4.618196E-12
B05,T,-3.137929E-10,-1.190249E-10,-1.282996E-10,-1.499405E-10,-1.499405E-10,-1.947680E-10,-1.854934E-10,-2.736027E-10,NMDG60/2,8.744429E+8,6.864388E-12
C05,T,-3.473363E-9,-2.020332E-9,-2.213554E-9,-2.284660E-9,-2.425326E-9,-2.774672E-9,-2.995718E-9,-3.312602E-9,NMDG60/2,1.305473E+10,1.451082E-11
D05,T,-3.091556E-12,-1.545778E-12,3.091556E-12,-3.091556E-12,-6.183112E-12,-1.545778E-12,-1.545778E-12,-1.236622E-11,NMDG60/2,2.438469E+9,NaN
E05,T,-9.738402E-11,-7.265157E-11,-7.574313E-11,-6.492268E-11,-7.265157E-11,-6.646846E-11,-8.501779E-11,-8.347201E-11,NMDG60/2,9.113802E+8,5.080643E-12
F05,T,-4.219974E-10,-1.839476E-10,-1.947680E-10,-2.179547E-10,-2.210463E-10,-2.658738E-10,-3.060641E-10,-3.864445E-10,NMDG60/2,2.010207E+9,6.052837E-12
G05,T,-1.128418E-10,-7.265157E-11,-7.110579E-11,-6.956001E-11,-7.883468E-11,-8.501779E-11,-1.020213E-10,-1.066587E-10,NMDG60/2,9.945854E+9,1.471263E-11
H05,T,-1.004756E-10,-9.429246E-11,-9.892979E-11,-8.501779E-11,-1.066587E-10,-9.583824E-11,-9.274669E-11,-1.020213E-10,NMDG60/2,1.199957E+10,1.133299E-11
I05,T,-1.282996E-10,-1.545778E-11,-2.318667E-11,-2.473245E-11,-4.173601E-11,-3.400712E-11,-7.419734E-11,-1.020213E-10,NMDG60/2,3.952443E+9,1.124588E-11
J05,T,-3.678952E-10,-1.344827E-10,-1.483947E-10,-1.762187E-10,-1.793102E-10,-2.117716E-10,-2.519618E-10,-3.122472E-10,NMDG60/2,5.498438E+8,5.842347E-12
K05,T,-8.501779E-11,-6.337690E-11,-6.028535E-11,-6.646846E-11,-6.337690E-11,-6.801423E-11,-7.419734E-11,-7.728890E-11,NMDG60/2,8.267661E+8,4.982618E-12
L05,T,-1.459215E-9,-5.657548E-10,-6.121281E-10,-6.755050E-10,-7.218783E-10,-9.135548E-10,-1.063495E-9,-1.293816E-9,NMDG60/2,6.366966E+8,9.253494E-12
M05,T,-1.066587E-10,-8.038046E-11,-9.738402E-11,-1.020213E-10,-9.583824E-11,-1.128418E-10,-1.205707E-10,-1.236622E-10,NMDG60/2,2.258664E+9,1.282053E-11
N05,T,-4.652792E-10,-2.210463E-10,-2.426871E-10,-2.720569E-10,-2.859689E-10,-3.230676E-10,-3.632578E-10,-4.204516E-10,NMDG60/2,3.365757E+9,9.946451E-12
O05,F,-3.045183E-10,-2.457787E-10,-2.565992E-10,-2.550534E-10,-2.473245E-10,-2.689654E-10,-2.287752E-10,-2.365040E-10,NMDG60/2,1.204714E+9,8.157456E-12
P05,T,-8.486322E-10,-9.274668E-10,-9.290126E-10,-9.429246E-10,-8.919139E-10,-7.821637E-10,-6.739592E-10,-5.889415E-10,NMDG60/2,9.042815E+7,1.460213E-11
A06,T,-3.668131E-9,-3.337335E-9,-3.386800E-9,-3.420807E-9,-3.453268E-9,-3.549106E-9,-3.590842E-9,-3.627941E-9,NMDG60/2,1.448150E+9,1.898154E-11
B06,T,-4.065396E-10,-1.592151E-10,-1.700356E-10,-1.901307E-10,-2.009511E-10,-2.334125E-10,-2.643281E-10,-3.307965E-10,NMDG60/2,1.557610E+9,1.004149E-11
C06,T,-1.517954E-9,-6.693219E-10,-7.218783E-10,-7.759806E-10,-8.099877E-10,-1.048038E-9,-1.167062E-9,-1.436028E-9,NMDG60/2,2.531737E+9,1.462576E-11
D06,T,-7.976215E-10,-4.096312E-10,-4.420925E-10,-4.560045E-10,-5.162898E-10,-5.657548E-10,-6.322232E-10,-7.172410E-10,NMDG60/2,5.303591E+9,1.475513E-11
E06,T,-9.738402E-11,-5.564801E-11,-6.028535E-11,-5.873957E-11,-6.492268E-11,-6.492268E-11,-6.646846E-11,-8.347201E-11,NMDG60/2,4.998948E+8,3.081470E-12
F06,T,-1.715814E-9,-8.857308E-10,-9.259211E-10,-1.020213E-9,-1.075862E-9,-1.315457E-9,-1.425207E-9,-1.602972E-9,NMDG60/2,7.189680E+9,1.655506E-11
G06,T,-1.253626E-9,-7.821637E-10,-8.393575E-10,-8.764561E-10,-9.197380E-10,-1.017122E-9,-1.103685E-9,-1.180974E-9,NMDG60/2,3.324497E+9,1.744982E-11
H06,T,-1.366468E-9,-5.209272E-10,-5.843041E-10,-6.291317E-10,-6.894170E-10,-8.548153E-10,-9.753860E-10,-1.187157E-9,NMDG60/2,1.312724E+9,1.332195E-11
I06,T,-2.414505E-9,-1.616884E-9,-1.666349E-9,-1.740546E-9,-1.803923E-9,-2.040427E-9,-2.134720E-9,-2.280023E-9,NMDG60/2,8.150646E+8,2.816673E-11
J06,T,-6.801423E-11,-7.883468E-11,-7.883468E-11,-7.883468E-11,-7.883468E-11,-7.265157E-11,-7.265157E-11,-7.110579E-11,NMDG60/2,2.175892E+8,1.305550E-12
K06,T,-7.558855E-10,-2.303209E-10,-2.643281E-10,-2.890605E-10,-3.060641E-10,-4.034481E-10,-5.101067E-10,-6.322232E-10,NMDG60/2,1.656697E+9,1.059549E-11
L06,T,-9.923895E-10,-6.214028E-10,-6.739592E-10,-7.033290E-10,-7.342446E-10,-8.223539E-10,-8.780019E-10,-9.645655E-10,NMDG60/2,1.268127E+9,1.119172E-11
M06,T,-8.780019E-10,-6.399521E-10,-6.677761E-10,-6.724135E-10,-6.986917E-10,-7.388819E-10,-7.620686E-10,-7.976215E-10,NMDG60/2,1.061087E+9,5.684590E-12
N06,T,-3.694410E-10,-2.457787E-10,-2.674196E-10,-2.643281E-10,-2.844232E-10,-3.122472E-10,-3.307965E-10,-3.416170E-10,NMDG60/2,8.684700E+8,8.096789E-12
O06,T,5.456596E-10,5.379308E-10,5.379308E-10,5.456596E-10,5.456596E-10,5.425681E-10,5.456596E-10,5.410223E-10,NMDG60/2,5.771316E+6,NaN
P06,T,-1.344827E-9,-8.115335E-10,-8.563610E-10,-9.228295E-10,-9.444704E-10,-1.074316E-9,-1.157788E-9,-1.281450E-9,NMDG60/2,1.987033E+9,1.580292E-11
