Sweep Results,,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001,Sweep 001
Parameter,Valid QC,RecInac0,RecInac8,RecInac9,RecInac10,RecInac15,RecInac20,RecInac25,RecInac30,Compound Name,Seal Resistance,Capacitance
L04,T,4.954698E-11,-9.135225E-11,-8.980391E-11,-7.896551E-11,-5.419202E-11,-3.251521E-11,-2.322515E-11,-9.290060E-12,NMDG60/2,6.535975E+7,2.968011E-11
M04,T,-3.406355E-11,-2.632184E-11,-2.632184E-11,-3.096686E-11,-2.012846E-11,-1.858012E-11,-2.322515E-11,-1.703178E-11,NMDG60/2,7.349153E+8,7.183067E-12
N04,F,-2.477349E-11,0.000000E+0,-1.238675E-11,-2.167681E-11,-4.645030E-12,-1.238675E-11,-1.238675E-11,-1.393509E-11,NMDG60/2,5.506502E+8,1.319236E-11
O04,F,2.673989E-9,2.314773E-9,2.395287E-9,2.449479E-9,2.308580E-9,2.500574E-9,2.748309E-9,2.745213E-9,NMDG60/2,8.711935E+7,NaN
P04,F,-1.703178E-10,4.645030E-12,2.477349E-11,-1.858012E-11,2.632184E-11,1.703178E-11,7.586882E-11,6.038538E-11,NMDG60/2,7.132398E+7,2.012478E-11
A05,F,5.217917E-10,4.567613E-10,4.242461E-10,4.196010E-10,4.072143E-10,4.072143E-10,4.056659E-10,4.025693E-10,NMDG60/2,6.962908E+6,NaN
B05,T,-9.290060E-12,-2.167681E-11,-2.477349E-11,-8.670722E-11,-2.632184E-11,-4.025693E-11,-1.548343E-11,0.000000E+0,NMDG60/2,2.337413E+8,4.189554E-12
C05,T,1.161257E-10,7.277214E-11,5.728870E-11,3.870858E-11,4.335361E-11,4.025693E-11,3.406355E-11,3.251521E-11,NMDG60/2,1.395892E+7,NaN
D05,T,2.012846E-11,6.193373E-12,1.548343E-12,-4.645030E-12,1.548343E-12,7.741716E-12,1.083840E-11,9.290060E-12,NMDG60/2,3.973136E+8,NaN
E05,T,2.167681E-11,1.548343E-11,1.703178E-11,1.393509E-11,1.703178E-11,1.238675E-11,1.703178E-11,1.858012E-11,NMDG60/2,1.933592E+9,1.109099E-11
F05,T,2.012846E-11,7.741716E-12,6.193373E-12,6.193373E-12,7.741716E-12,9.290060E-12,1.083840E-11,1.083840E-11,NMDG60/2,4.381821E+8,1.249259E-11
G05,T,-3.096686E-11,-7.277214E-11,-8.206219E-11,-8.670722E-11,-5.883705E-11,-6.812710E-11,-4.645030E-11,-4.025693E-11,NMDG60/2,1.113061E+9,1.364797E-11
H05,T,-1.935429E-10,-2.430899E-10,-2.523800E-10,-2.585733E-10,-2.585733E-10,-2.647667E-10,-2.678634E-10,-2.787018E-10,NMDG60/2,1.529449E+8,NaN
I05,T,-4.490195E-11,-7.586882E-11,-7.896551E-11,-8.361054E-11,-7.432048E-11,-6.812710E-11,-5.883705E-11,-5.883705E-11,NMDG60/2,5.410492E+8,1.180878E-11
J05,T,-4.645030E-12,-2.167681E-11,-1.238675E-11,-1.393509E-11,-7.741716E-12,-1.548343E-11,-6.193373E-12,0.000000E+0,NMDG60/2,2.699105E+11,5.521037E-12
K05,T,-1.517376E-10,-6.038538E-11,-5.728870E-11,-7.432048E-11,-5.883705E-11,-1.114807E-10,-1.021907E-10,-1.021907E-10,NMDG60/2,5.955587E+8,1.622180E-11
L05,T,-8.670722E-11,-9.754562E-11,-9.754562E-11,-9.599728E-11,-9.135225E-11,-9.754562E-11,-8.825557E-11,-9.135225E-11,NMDG60/2,3.281550E+8,1.199369E-11
M05,T,-1.548343E-12,-5.728870E-11,-6.193373E-11,-8.051385E-11,-4.645030E-11,-5.883705E-11,-6.038538E-11,-4.025693E-11,NMDG60/2,2.421191E+8,1.855785E-11
N05,T,-7.741716E-11,-8.515888E-11,-8.206219E-11,-1.656727E-10,-8.206219E-11,-7.896551E-11,-8.361054E-11,-7.896551E-11,NMDG60/2,9.414045E+8,1.265599E-11
O05,F,-4.335361E-11,-1.393509E-10,-1.424476E-10,-1.703178E-10,-1.548343E-10,-1.734144E-10,-1.687694E-10,-1.517376E-10,NMDG60/2,3.441223E+8,1.342848E-11
P05,F,-6.812710E-11,-9.135225E-11,-1.068357E-10,-1.037390E-10,-1.037390E-10,-1.378025E-10,-1.362542E-10,-1.300608E-10,NMDG60/2,1.740709E+8,7.446948E-12
A06,T,-6.038538E-11,-7.432048E-11,-6.967545E-11,-7.122379E-11,-5.728870E-11,-6.657876E-11,-6.967545E-11,-6.038538E-11,NMDG60/2,7.006598E+8,1.468541E-11
B06,T,-6.657876E-11,-1.114807E-10,-1.161257E-10,-1.068357E-10,-1.161257E-10,-1.145774E-10,-1.068357E-10,-1.052873E-10,NMDG60/2,4.330479E+8,1.261538E-11
C06,T,9.290060E-12,-1.238675E-11,-7.741716E-12,-4.645030E-12,4.645030E-12,0.000000E+0,-4.645030E-12,4.645030E-12,NMDG60/2,6.265689E+8,8.162397E-12
D06,T,-7.432048E-11,-8.515888E-11,-8.051385E-11,-8.670722E-11,-7.896551E-11,-8.051385E-11,-8.515888E-11,-7.896551E-11,NMDG60/2,8.120281E+8,1.795154E-11
E06,F,-2.477349E-11,-4.180527E-11,-4.335361E-11,-4.335361E-11,-3.870858E-11,-4.025693E-11,-3.870858E-11,-3.561190E-11,NMDG60/2,4.964367E+8,4.195267E-12
F06,F,1.083840E-10,1.331575E-10,1.347059E-10,1.223191E-10,1.300608E-10,1.300608E-10,1.316092E-10,1.408992E-10,NMDG60/2,3.395441E+8,9.452086E-12
G06,T,1.083840E-11,-1.703178E-11,-2.012846E-11,-2.632184E-11,-3.251521E-11,-3.870858E-11,-3.096686E-11,-2.787018E-11,NMDG60/2,3.147971E+8,9.665615E-12
